
  ==================================
    InkReel — AI 小说转剧本工具
  ==================================
    模型:  mimo-v2.5-pro
    地址:  http://0.0.0.0:8766
  ==================================

INFO:     127.0.0.1:61280 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /app HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /favicon.ico HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /css/style.css HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /js/api.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /js/app.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /js/auth.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /js/utils.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /js/views.js HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "POST /api/auth/login HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "GET /api/auth/check HTTP/1.1" 200 OK
INFO:     127.0.0.1:61280 - "POST /api/auth/register HTTP/1.1" 400 Bad Request
INFO:     127.0.0.1:61280 - "POST /api/auth/reset-password HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:58283 - "POST /api/novels/preview HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:58285 - "POST /api/novels/import HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:58286 - "GET /api/novels HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:58287 - "GET /api/novels/ HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:58288 - "DELETE /api/novels/999 HTTP/1.1" 500 Internal Server Error
INFO:     127.0.0.1:58318 - "GET /api/health HTTP/1.1" 200 OK
